店名,評分,評論數,地址,鏈接
南店酒居 Minami Mise-新北永和(日式居酒屋，永和宵夜食堂，酒水炸物烤物，居酒屋，美食喝酒，創意調酒，酒吧必去推薦),4.9 ,69,234新北市永和區豫溪街137-2號,https://www.google.com/maps/place/%E5%8D%97%E5%BA%97%E9%85%92%E5%B1%85+Minami+Mise-%E6%96%B0%E5%8C%97%E6%B0%B8%E5%92%8C%28%E6%97%A5%E5%BC%8F%E5%B1%85%E9%85%92%E5%B1%8B%EF%BC%8C%E6%B0%B8%E5%92%8C%E5%AE%B5%E5%A4%9C%E9%A3%9F%E5%A0%82%EF%BC%8C%E9%85%92%E6%B0%B4%E7%82%B8%E7%89%A9%E7%83%A4%E7%89%A9%EF%BC%8C%E5%B1%85%E9%85%92%E5%B1%8B%EF%BC%8C%E7%BE%8E%E9%A3%9F%E5%96%9D%E9%85%92%EF%BC%8C%E5%89%B5%E6%84%8F%E8%AA%BF%E9%85%92%EF%BC%8C%E9%85%92%E5%90%A7%E5%BF%85%E5%8E%BB%E6%8E%A8%E8%96%A6%29/data=!4m7!3m6!1s0x3442a9002d97a9b7:0xa44b8c5b285a1ecd!8m2!3d25.0102982!4d121.5199934!16s%2Fg%2F11lcl07hb1!19sChIJt6mXLQCpQjQRzR5aKFuMS6Q?authuser=0&hl=zh-TW&rclk=1
Bar Salix 煽 in RC,4.7 ,496,251新北市淡水區中正路233-2號3樓,https://www.google.com/maps/place/Bar+Salix+%E7%85%BD+in+RC/data=!4m7!3m6!1s0x3442a5a735957837:0xeb24344e313f309d!8m2!3d25.1731195!4d121.4356756!16s%2Fg%2F11hfhptq92!19sChIJN3iVNaelQjQRnTA_MU40JOs?authuser=0&hl=zh-TW&rclk=1
Boulevard Cafe 林蔭美式餐酒食,4.6 ,729,,https://www.google.com/maps/place/Boulevard+Cafe+%E6%9E%97%E8%94%AD%E7%BE%8E%E5%BC%8F%E9%A4%90%E9%85%92%E9%A3%9F/data=!4m7!3m6!1s0x3442ade61175c0f1:0xf36f2c1be74422cf!8m2!3d25.0973739!4d121.5442214!16s%2Fg%2F11rq0qdh7h!19sChIJ8cB1EeatQjQRzyJE5xssb_M?authuser=0&hl=zh-TW&rclk=1
R bar 逸庭,4.6 ,253,,https://www.google.com/maps/place/R+bar+%E9%80%B8%E5%BA%AD/data=!4m7!3m6!1s0x3442af21e8bf6049:0xffe60025e82533b0!8m2!3d25.093179!4d121.5291354!16s%2Fg%2F11gsbbr5rk!19sChIJSWC_6CGvQjQRsDMl6CUA5v8?authuser=0&hl=zh-TW&rclk=1
8528 Music Bar 不限時調酒暢飲,4.6 ,195,,https://www.google.com/maps/place/8528+Music+Bar+%E4%B8%8D%E9%99%90%E6%99%82%E8%AA%BF%E9%85%92%E6%9A%A2%E9%A3%B2/data=!4m7!3m6!1s0x3442a96588f73c09:0xef4e5f08d505d614!8m2!3d25.0494899!4d121.525778!16s%2Fg%2F11cncy2bd1!19sChIJCTz3iGWpQjQRFNYF1QhfTu8?authuser=0&hl=zh-TW&rclk=1
醉好 Another Round,4.8 ,"1,796",106台北市大安區大安路一段19巷13號,https://www.google.com/maps/place/%E9%86%89%E5%A5%BD+Another+Round/data=!4m7!3m6!1s0x3442abf448801209:0x993b87cd2e790907!8m2!3d25.0445195!4d121.5469566!16s%2Fg%2F11ry9zm2v2!19sChIJCRKASPSrQjQRBwl5Ls2HO5k?authuser=0&hl=zh-TW&rclk=1
"Pasta & Co. Restaurant, Bar & Lounge",4.4 ,"2,439",104台北市中山區南京東路三段9號,"https://www.google.com/maps/place/Pasta+%26+Co.+Restaurant,+Bar+%26+Lounge/data=!4m7!3m6!1s0x3442abd9a4305d3f:0xca3a8d6d8917f1e3!8m2!3d25.0521423!4d121.5374599!16s%2Fg%2F11q4g5j816!19sChIJP10wpNmrQjQR4_EXiW2NOso?authuser=0&hl=zh-TW&rclk=1"
"Pasta & Co. Restaurant, Bar & Lounge",4.4 ,"2,439",104台北市中山區南京東路三段9號,"https://www.google.com/maps/place/Pasta+%26+Co.+Restaurant,+Bar+%26+Lounge/data=!4m7!3m6!1s0x3442abd9a4305d3f:0xca3a8d6d8917f1e3!8m2!3d25.0521423!4d121.5374599!16s%2Fg%2F11q4g5j816!19sChIJP10wpNmrQjQR4_EXiW2NOso?authuser=0&hl=zh-TW&rclk=1"
Bar M,4.5 ,494,,https://www.google.com/maps/place/Bar+M/data=!4m7!3m6!1s0x3442a99bcb4ecfab:0x105b9a8d3ed6d7b1!8m2!3d25.0285696!4d121.5210357!16s%2Fg%2F11c3w97zt5!19sChIJq89Oy5upQjQRsdfWPo2aWxA?authuser=0&hl=zh-TW&rclk=1
Shisha屋Match林森唱歌店台北高cp值暢飲水煙館/有骰盅鹹酥雞披薩Hookah喝到飽KTV值得推薦的非酒吧Bar炸物餐酒館,5.0 ,726,10491台北市中山區林森北路145巷28號,https://www.google.com/maps/place/Shisha%E5%B1%8BMatch%E6%9E%97%E6%A3%AE%E5%94%B1%E6%AD%8C%E5%BA%97%E5%8F%B0%E5%8C%97%E9%AB%98cp%E5%80%BC%E6%9A%A2%E9%A3%B2%E6%B0%B4%E7%85%99%E9%A4%A8%2F%E6%9C%89%E9%AA%B0%E7%9B%85%E9%B9%B9%E9%85%A5%E9%9B%9E%E6%8A%AB%E8%96%A9Hookah%E5%96%9D%E5%88%B0%E9%A3%BDKTV%E5%80%BC%E5%BE%97%E6%8E%A8%E8%96%A6%E7%9A%84%E9%9D%9E%E9%85%92%E5%90%A7Bar%E7%82%B8%E7%89%A9%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a92ebe4619d3:0x93c62fc40bfd2ed!8m2!3d25.0511948!4d121.5261781!16s%2Fg%2F11h7kt2jfd!19sChIJ0xlGvi6pQjQR7dK_QPxiPAk?authuser=0&hl=zh-TW&rclk=1
